City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
279,machico,32.7,-16.7667,20.35,83,75,2.57,PT,1699932781
280,barra de santo antonio,-9.4047,-35.5072,23.6,88,99,2.32,BR,1699932782
281,kingscliff,-28.2667,153.5667,27.63,69,49,5.14,AU,1699932783
282,tual,-5.6667,132.75,27.88,73,48,3.24,ID,1699932783
283,ji'an,27.1172,114.9793,14.66,48,17,1.77,CN,1699932784
284,mil'kovo,55.6078,37.7956,4.12,94,100,5.19,RU,1699932784
285,lautoka,-17.6167,177.4667,31.92,58,75,6.17,FJ,1699932785
286,esperanza,19.5847,-70.9849,24.32,90,4,3.01,DO,1699932786
287,yeppoon,-23.1333,150.7333,32.88,57,0,6.32,AU,1699932787
288,nhamunda,-2.1861,-56.7131,28.45,46,100,1.46,BR,1699932787
289,belyy yar,53.6039,91.3903,2.94,81,0,6.0,RU,1699932788
290,vila franca do campo,37.7167,-25.4333,17.23,99,81,2.6,PT,1699932788
291,port alfred,-33.5906,26.891,13.43,95,89,5.17,ZA,1699932542
292,mogadishu,2.0371,45.3438,27.56,77,100,2.95,SO,1699932567
293,as sulayyil,20.4607,45.5779,19.14,46,26,2.9,SA,1699932790
294,fredericton,45.9454,-66.6656,-2.53,80,100,1.54,CA,1699932791
295,yulinshi,38.2906,109.7494,5.19,24,0,1.61,CN,1699932792
296,menomonie,44.8755,-91.9193,6.55,75,0,0.0,US,1699932792
297,tengrela,10.4869,-6.4097,21.33,42,78,1.78,CI,1699932793
298,agdam,39.991,46.9274,12.24,78,46,1.11,AZ,1699932793
299,howrah,22.5892,88.3103,24.0,73,20,4.12,IN,1699932794
300,karaton,-6.3424,106.1045,31.35,63,96,0.34,ID,1699932795
301,mersing,2.4312,103.8405,29.95,79,40,2.06,MY,1699932795
302,kebili,33.7044,8.969,16.46,67,0,2.44,TN,1699932796
303,alice springs,-23.7,133.8833,35.75,13,14,2.57,AU,1699932797
304,faranah,10.0404,-10.7434,18.59,46,8,1.76,GN,1699932797
305,wamba,8.9333,8.6,24.04,43,95,1.25,NG,1699932798
306,tahoua,14.8888,5.2692,21.99,21,0,4.12,NE,1699932798
307,timbuktu,16.7735,-3.0074,23.33,13,0,4.28,ML,1699932799
308,puerto deseado,-47.7503,-65.8938,8.65,44,100,10.18,AR,1699932800
309,ramadi,33.4226,43.3058,21.95,32,91,2.33,IQ,1699932800
310,orichi,58.4036,49.0572,5.59,84,100,5.1,RU,1699932801
311,el quebrachal,-25.2833,-64.0667,17.86,72,100,0.78,AR,1699932801
312,piwniczna-zdroj,49.4406,20.7142,8.7,83,100,3.23,PL,1699932802
313,at taj,24.2049,23.2857,16.73,37,0,4.35,LY,1699932595
314,divnogorsk,55.9594,92.3619,0.97,89,100,4.5,RU,1699932803
315,la'ie,21.6477,-157.9253,27.98,77,51,4.47,US,1699932804
316,seosan,36.7817,126.4522,8.95,62,100,1.08,KR,1699932805
317,kourou,5.1552,-52.6478,25.03,90,12,2.52,GF,1699932678
318,creston,41.0586,-94.3614,7.98,46,0,3.6,US,1699932624
319,port mathurin,-19.6833,63.4167,27.05,83,20,2.06,MU,1699932806
320,wailua homesteads,22.0669,-159.378,27.24,80,40,7.2,US,1699932808
321,mejit,10.2753,170.8646,27.06,85,98,6.34,MH,1699932808
322,queenstown,-31.8976,26.8753,9.78,83,80,3.05,ZA,1699932519
323,tongshan,34.1805,117.1571,10.46,22,0,2.45,CN,1699932810
324,santa maria do suacui,-18.1903,-42.4142,23.16,54,75,0.49,BR,1699932810
325,jayapura,-2.5333,140.7,31.66,75,95,3.02,ID,1699932811
326,nahiyat ash shinafiyah,31.5874,44.6602,20.95,37,5,2.38,IQ,1699932811
327,neryungri,56.6709,124.6491,-10.13,80,100,0.28,RU,1699932812
328,kadisehri,39.9957,35.7919,10.41,81,100,1.77,TR,1699932813
329,veraval,20.9,70.3667,27.83,33,27,4.45,IN,1699932813
330,vanimo,-2.6741,141.3028,29.32,75,92,1.56,PG,1699932814
331,stephenville,32.2207,-98.2023,12.86,79,100,2.21,US,1699932814
332,gunupur,19.0833,83.8167,26.1,60,92,1.57,IN,1699932815
333,high river,50.5834,-113.8687,5.09,77,77,0.9,CA,1699932816
334,mto wa mbu,-3.35,35.85,21.12,86,72,1.13,TZ,1699932816
335,conceicao do araguaia,-8.2578,-49.2647,26.53,48,0,1.87,BR,1699932817
336,kilju,40.9642,129.3278,8.13,41,54,1.62,KP,1699932817
337,cumbal,0.9088,-77.7915,7.78,95,20,1.9,CO,1699932818
338,sarupathar,26.1984,93.8094,24.43,66,25,1.88,IN,1699932819
339,flin flon,54.7682,-101.865,0.23,80,100,5.71,CA,1699932820
340,mirnyy,62.5353,113.9611,-8.2,92,99,1.79,RU,1699932821
341,eraan,9.0629,117.7016,31.18,66,99,3.29,PH,1699932821
342,klyuchi,52.2667,79.1667,2.82,93,93,3.47,RU,1699932575
343,yerofey pavlovich,53.9667,121.9667,-4.02,44,82,0.77,RU,1699932822
344,xinzo de limia,42.0635,-7.7246,13.23,84,100,1.99,ES,1699932823
345,sretensk,52.2453,117.7093,-5.05,61,37,1.47,RU,1699932823
346,serhiyivka,46.0272,30.3768,7.89,56,8,3.6,UA,1699932824
347,riacho de santana,-13.6092,-42.9389,23.94,38,0,2.19,BR,1699932824
348,kirensk,57.7853,108.1119,-3.91,95,100,4.47,RU,1699932825
349,altai,46.3722,96.2583,-8.0,86,100,4.03,MN,1699932825
350,fortuna,40.5982,-124.1573,13.32,95,100,0.45,US,1699932817
351,schwarzenfeld,49.3894,12.1397,9.69,75,100,5.52,DE,1699932826
352,mathba,22.2855,89.9629,26.53,58,100,3.03,BD,1699932827
353,szamotuly,52.612,16.5779,9.06,98,88,7.35,PL,1699932827
354,zhanaozen,43.3,52.8,10.17,52,13,7.57,KZ,1699932828
